director,d_score
Espen Sandberg,12.2053414361107
Etan Cohen,11.8287633308457
Ethan Coen,75.1301775615096
Ethan Maniquis,35.7770034843206
Evan Glodell,1.11161452998188
Evan Goldberg,38.9002577936057
F?lix Enr?quez Alcal?,2.19183030143823
F. Gary Gray,75.1467549103884
Fatih Akin,2.1061724517041
Fede Alvarez,30.6593669439498
Fernando Meirelles,15.5853651768748
Flip van der Kuil,2.04607046070461
Florent-Emilio Siri,19.2572614107884
Floria Sigismondi,5.5536198219125
Florian Henckel von Donnersmarck,60.0745877931619
Fran?ois Girard,4.0899917781598
Fran?ois Ozon,3.47303906395097
Francine McDougall,1.99218989593343
Francis Ford Coppola,7.36799984911378
Francis Lawrence,220.341277213975
Francis Veber,17.3286493758876
Franck Khalfoun,5.77205910083256
Franco Zeffirelli,1.14137312803206
Frank Coraci,84.5974418458306
Frank Darabont,115.667263195945
Frank Marshall,18.1384935231089
Frank Miller,10.9329059356693
Frank Oz,21.7146800635372
Fred Wolf,15.1628993036366
Fyodor Bondarchuk,2.52697095435685
G?bor Csup?,33.3087272917648
Gabriele Muccino,96.5830012146471
Gareth Edwards,50.2891298529614
Gareth Evans,25.9123311512053
Garry Marshall,54.603065090427
Garth Jennings,36.0209636146153
Gary Chapman,8.62655601659751
Gary David Goldberg,4.96680497925311
Gary Fleder,20.3044152157211
Gary Goldman,38.1472004439698
Gary McKendry,18.9479749428729
Gary Ross,123.991928275692
Gary Shore,37.8439753124468
Gary Sinyor,3.33632145117064
Gary Winick,37.2314297002848
Gavin Hood,91.8834794445307
Gavin O'Connor,24.8282853451891
Genndy Tartakovsky,40.9159514972985
Geoffrey Sax,8.01659751037344
George A. Romero,9.52120678771992
George Clooney,32.4396351271119
George Hickenlooper,2.04607046070461
George Lucas,310.512384383144
George Miller,95.5167076811451
George Nolfi,46.6878102592388
"George Tillman, Jr.",29.8811411079927
Gil Junger,60.6683716515503
Gil Kenan,33.4837340196745
Gilbert Adler,3.00201354567088
Gilles Paquet-Brenner,4.73519163763066
Gillian Armstrong,1.56012774200304
Gina Prince-Bythewood,4.97235596814153
Giuseppe Capotondi,0.558544399443874
Giuseppe Tornatore,7.88848433305871
Glen Morgan,3.39037262114185
Gonzalo L?pez-Gallego,8.58974864076905
Gore Verbinski,331.027917412179
Grant Heslov,19.8841806202019
Greg Berlanti,22.1560201316299
Greg Coolidge,5.76363345594115
Greg McLean,8.01659751037344
Greg Mottola,74.5945706419185
Greg Strause,27.5286489288566
Gregor Jordan,1.69199734718691
Gregory Hoblit,21.8794271768923
Gregory Nava,5.61108557168188
Griffin Dunne,15.1760221242245
Guillermo del Toro,157.174495685607
Gurinder Chadha,16.5272248836111
Gus Van Sant,68.4761485952795
Guy Ferland,3.5886563876652
Guy Ritchie,274.175149658074
Han-min Kim,0.802913196162237
Harald Zwart,20.5491381678354
Harmony Korine,22.3642597071252
Harold Becker,2.84598556561919
Harold Ramis,30.0097113348665
Hayao Miyazaki,140.319098044334
Hayden Schlossberg,31.4951595168476
Henry Alex Rubin,7.11091019125464
Henry Bean,4.26897834842878
Henry Selick,31.9721629201509
Hideo Nakata,10.1173480828164
Hiromasa Yonebayashi,19.993031358885
Howard Deutch,10.3332210546101
Howard McCain,8.91552448325412
Hugh Johnson,1.05357519510652
Hugh Wilson,11.0283200315098
Iain Softley,30.1161277990773
Isabel Coixet,1.88722781032386
Isao Takahata,4.28309458633428
Ivan Reitman,36.499392760721
J. Mackye Gruber,66.4267621145374
J.B. Rogers,42.3340352885854
J.C. Chandor,12.8846229611536
J.J. Abrams,226.885865377971
Jacob Aaron Estes,1.83094713656388
Jacques Audiard,5.44605423377836
Jake Kasdan,25.5671550346948
Jake Paltrow,1.09208941940213
Jake Schreier,7.02625649850161
Jalil Lespert,3.63987315593547
James Bobin,14.0972933574974
James Cameron,507.831454656571
James Cox,1.4981737138612
James DeMonaco,31.5268291386504
James Foley,7.55003238514672
James Gray,9.62994073355364
James Gunn,86.1771682013058
James Isaac,7.04381427490748
James L. Brooks,29.0717511777153
James Mangold,90.8887569411584
James Marsh,27.7212428907703
James McTeigue,109.316509689427
James Ponsoldt,12.9848247269248
James Toback,0.350692848230118
James Wan,102.251484416754
James Watkins,16.084201623076
James Wong,58.1889030931659
Jamie Babbit,2.61410788381743
Jamie Blanks,10.9783989834816
Jamie Travis,1.46733067438588
Jan de Bont,76.0616811880791
Jane Campion,2.8524342305663
Jared Hess,19.9213450084341
Jason Eisener,3.84012292175557
Jason Friedberg,6.10267071805533
Jason Moore,35.2723719804298
Jason Reitman,70.0533683456199
Jason Winer,7.37707824442518
Jaume Collet-Serra,63.0600262871982
Jay Chandrasekhar,16.8905309867996
Jay Duplass,5.86124024899535
