X,TMDBID,title,releaseDate,rating,num_rating,stars,star1,star2,star3,star4,star5,director,runtime,genres,production,country,budget,revenue,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western
2577,865,The Running Man,11/13/87,6.3,287,"['Arnold Schwarzenegger', 'Richard Dawson', 'Mar?a Conchita Alonso', 'Yaphet Kotto', 'Jim Brown']",Arnold Schwarzenegger,Richard Dawson,Mar?a Conchita Alonso,Yaphet Kotto,Jim Brown,Paul Michael Glaser,101,"['Action', 'Science Fiction']",Keith Barish Productions,United States of America,27000000,38122105,11/13/87,1987,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2584,635,Angel Heart,3/6/87,6.7,106,"['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet', 'Charlotte Rampling', 'Stocker Fontelieu']",Mickey Rourke,Robert De Niro,Lisa Bonet,Charlotte Rampling,Stocker Fontelieu,Alan Parker,113,"['Horror', 'Mystery', 'Thriller']",TriStar Pictures,United States of America,17000000,17185632,3/6/87,1987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2588,10117,Action Jackson,2/12/88,5.5,16,"['Carl Weathers', 'Craig T. Nelson', 'Vanity', 'Sharon Stone', 'Thomas F. Wilson']",Carl Weathers,Craig T. Nelson,Vanity,Sharon Stone,Thomas F. Wilson,Craig R. Baxley,96,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",Lorimar Motion Pictures,United States of America,7000000,20256975,2/12/88,1988,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2592,9679,Gone In Sixty Seconds,6/4/00,6,855,"['Nicolas Cage', 'Giovanni Ribisi', 'Angelina Jolie', 'T.J. Cross', 'Robert Duvall']",Nicolas Cage,Giovanni Ribisi,Angelina Jolie,T.J. Cross,Robert Duvall,Dominic Sena,118,"['Action', 'Crime', 'Thriller']",Jerry Bruckheimer Films,United States of America,90000000,237202299,6/4/00,2000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2593,51333,Love's Labour's Lost,3/31/00,4.7,5,"['Alessandro Nivola', 'Alicia Silverstone', 'Natascha McElhone', 'Kenneth Branagh', 'Richard Briers']",Alessandro Nivola,Alicia Silverstone,Natascha McElhone,Kenneth Branagh,Richard Briers,Kenneth Branagh,93,"['Comedy', 'Music', 'Romance']",Miramax Films,France,13000000,299792,3/31/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2614,479,Shaft,6/15/00,5.3,139,"['Samuel L. Jackson', 'Jeffrey Wright', 'Christian Bale', 'Busta Rhymes', 'Dan Hedaya']",Samuel L. Jackson,Jeffrey Wright,Christian Bale,Busta Rhymes,Dan Hedaya,John Singleton,99,"['Action', 'Adventure', 'Crime', 'Thriller']",Paramount Pictures,Germany,46000000,107196498,6/15/00,2000,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2615,7450,Titan A.E.,6/16/00,6.1,143,"['Matt Damon', 'Bill Pullman', 'Drew Barrymore', 'John Leguizamo', 'Nathan Lane']",Matt Damon,Bill Pullman,Drew Barrymore,John Leguizamo,Nathan Lane,Gary Goldman,94,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']",20th Century Fox,United States of America,75000000,36754634,6/16/00,2000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2617,7443,Chicken Run,6/21/00,6.3,512,"['Mel Gibson', 'Miranda Richardson', 'Timothy Spall', 'Imelda Staunton', 'Jane Horrocks']",Mel Gibson,Miranda Richardson,Timothy Spall,Imelda Staunton,Jane Horrocks,Nick Park,84,"['Animation', 'Comedy', 'Family']",DreamWorks SKG,United Kingdom,45000000,224834564,6/21/00,2000,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2618,2123,"Me, Myself & Irene",6/22/00,6,411,"['Jim Carrey', 'Ren?e Zellweger', 'Anthony Anderson', 'Robert Forster', 'Richard Jenkins']",Jim Carrey,Ren?e Zellweger,Anthony Anderson,Robert Forster,Richard Jenkins,Bobby Farrelly,116,['Comedy'],Twentieth Century Fox Film Corporation,United States of America,51000000,149270999,6/22/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2619,2024,The Patriot,6/28/00,6.7,531,"['Mel Gibson', 'Heath Ledger', 'Joely Richardson', 'Jason Isaacs', 'Tch?ky Karyo']",Mel Gibson,Heath Ledger,Joely Richardson,Jason Isaacs,Tch?ky Karyo,Roland Emmerich,165,"['Drama', 'History', 'War', 'Action']",Centropolis Entertainment,Germany,110000000,215294342,6/28/00,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2620,17711,The Adventures of Rocky & Bullwinkle,6/30/00,4.2,19,"['Rene Russo', 'Jason Alexander', 'Piper Perabo', 'Randy Quaid', 'Robert De Niro']",Rene Russo,Jason Alexander,Piper Perabo,Randy Quaid,Robert De Niro,Des McAnuff,88,"['Adventure', 'Animation', 'Action', 'Comedy', 'Family']",Universal Pictures,Germany,76000000,35134820,6/30/00,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2621,2133,The Perfect Storm,3/15/00,6,244,"['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'John C. Reilly', 'William Fichtner']",George Clooney,Mark Wahlberg,Diane Lane,John C. Reilly,William Fichtner,Wolfgang Petersen,130,['Drama'],Warner Bros.,United States of America,120000000,325756637,3/15/00,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2636,16094,House Party,3/9/90,6.8,17,"['Christopher Reid', 'Martin Lawrence', 'Christopher Martin', 'Robin Harris', 'Tisha Campbell-Martin']",Christopher Reid,Martin Lawrence,Christopher Martin,Robin Harris,Tisha Campbell-Martin,Reginald Hudlin,100,"['Comedy', 'Drama']",New Line Cinema,United States of America,2500000,26386000,3/9/90,1990,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
